Recipient Parent Name,Recipient Parent Duns,Top Words From Serv Desc,Number Of Prime Awards,Current Total Value Of Awards Usd,Potential Total Value Of Awards Usd,Remaining Total Value Of Awards Usd,Award Id Piids,First Contract Start Date,Last Contract End Date,Recipient Address Line 1,Recipient Address Line 2,Recipient City Name,Recipient State Code,Recipient State Name,Recipient Zip 4 Code,Recipient Congressional District,Recipient Phone Number,Recipient Fax Number,Analysis Date,Raw Data Download Date
CITY OF MESA,20141404.0,"lease, rental, equipment, recreational, athletic",4,14.80 K,44.40 K,29600.0,"70CMSD18P00000014, HSCEMD15P00007, HSCEMD11P00011, HSCEMD10P00030",2010-12-07,2020-12-31,55 CENTER ST,,MESA,AZ,ARIZONA,852017320,09,4806444202,4806442175,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALLIED 100  LLC,121306984.0,"medical, surgical, instruments,, equipment,, supplies",3,14.79 K,14.79 K,0.0,"70CDCR18FR0000109, HSCEMD17F00100, HSCEMR12F00076",2012-11-15,2018-09-30,1800 US HWY 51 N,,WOODRUFF,WI,WISCONSIN,545689558,07,7153582329,2623642377,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TVEYES INC.,120189555.0,"telecom, web, based, subscription",2,14.70 K,25.50 K,10800.0,"HSCEMS16P00054, HSCEMD10P00353",2013-12-03,2021-09-22,1150 POST ROAD FAIRFIELD,,FAIRFIELD,CT,CONNECTICUT,068246040,04,2032543600,2032543605,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
LIOCE GROUP INC.  THE,798247446.0,"equipment, printing,, duplicating,, bookbinding, maint",3,14.67 K,24.19 K,9516.0,"HSCEMD15F00140, HSCEMD17F00106, HSCEMD17F00083",2017-06-09,2018-09-29,2950 DRAKE AVE,,HUNTSVILLE,AL,ALABAMA,358055124,05,2566504150,2566504160,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TONAWANDA SPORTSMEN'S CLUB INC,74019126.0,"education, training",1,14.62 K,23.12 K,8500.0,HSCEDM17P00011,2018-01-18,2020-01-05,5657 KILLIAN RD,,NORTH TONAWANDA,NY,NEW YORK,141209598,27,7169094401,7168129582,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GEO-MED  LLC,166569850.0,"laundry, dry, cleaning, equipment",1,14.55 K,14.55 K,0.0,70CDCR18FR0000060,2018-05-22,2018-06-21,1525 INTERNATIONAL PKWY STE 3071,,LAKE MARY,FL,FLORIDA,327467646,07,8778650400,8668628825,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KP ELECTRONICS LLC,76524429.0,"electrical, control, equipment",1,14.41 K,14.41 K,0.0,HSCEDM16P00078,2016-06-15,2016-08-14,543 BLAIR PARK RD,,WILLISTON,VT,VERMONT,054957436,00,8028720826,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GRIFFEYE INC.,80638467.0,"information, technology, software",2,14.40 K,14.40 K,0.0,"HSCEMD17P00130, HSCEMD17P00068",2017-11-08,2018-09-29,12814 MOUNT ROYAL LN,,FAIRFAX,VA,VIRGINIA,220333624,11,7032820757,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TESSCO TECHNOLOGIES INCORPORATED,22634265.0,"telecom, telecommunications, network, management",1,14.30 K,14.30 K,0.0,HSCETE17F00048,2017-09-21,2017-10-20,11126 MCCORMICK RD,,HUNT VALLEY,MD,MARYLAND,210311404,07,4102291507,4105270005,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INTEGRATED EXHIBITS INC,157597522.0,"information, technology, supplies",1,14.19 K,14.19 K,0.0,HSCETE16P00031,2016-08-31,2016-09-29,3500 WARSAW AVE,,CINCINNATI,OH,OHIO,452051823,01,5132816004,5132572999,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
UNITED PARCEL SERVICE  INC.,6991681.0,"courier, messenger, support, administrative:, transportation",6,14.16 K,35.16 K,21000.0,"70CMSW18FR0000005, HSCEMR17F00058, HSCEMR14F00029, HSCEMS09J00008, HSCEMS10J00009, HSCEMS08J00045",2010-06-28,2022-08-31,1400 N HURSTBOURNE PKWY,,LOUISVILLE,KY,KENTUCKY,402234015,03,5023595559,5023741013,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FOLSOM SHOOTING CLUB INC,945193316.0,"lease, rental, equipment, weapons",1,14.10 K,14.10 K,0.0,HSCEMD16P00050,2018-07-01,2019-06-30,15501 MEISS RD,,SLOUGHHOUSE,CA,CALIFORNIA,95683,03,9163549668,9163549664,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
OPSEC SECURITY GROUP  INC.,221908138.0,"badges, insignia",1,14.09 K,14.09 K,0.0,HSCEDM17P00082,2017-07-21,2017-08-23,1857 COLONIAL VILLAGE LN,,LANCASTER,PA,PENNSYLVANIA,176016702,16,6232342690,7206392840,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PRIME HOME FURNITURE  LLC,77844404.0,"household, furniture",1,14.08 K,14.08 K,0.0,HSCEMS17P00065,2018-08-16,2017-08-20,12059 ANDERSON RD,,TAMPA,FL,FLORIDA,336245602,14,8134473557,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALEXANDER ELECTRIC CO.,33638016.0,"components, electrical, electronic, equipment, miscellaneous",3,14.03 K,14.03 K,0.0,"70CMSW18P00000048, HSCETE16P00021, HSCEMS12P00066",2013-10-17,2018-09-30,1411 BELFAST AVE,,COLUMBUS,GA,GEORGIA,319044431,02,7063271502,7065960403,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GUARDIAN SAFETY AND SUPPLY,28463836.0,"tactical, sets,, kits,, outfits",1,14.00 K,14.00 K,0.0,70CDCR18P00000144,2018-08-13,2018-09-30,8248 W DOE AVE,,VISALIA,CA,CALIFORNIA,932919263,22,8666464434,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
STRATEGIC CYBER LLC,79206420.0,"information, technology, software",1,14.00 K,14.00 K,0.0,70CTD018P00000024,2018-08-01,2019-07-31,1875 CONNECTICUT AVE NW,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200095728,00,8887617773,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
HYATT HOTELS CORPORATION,602495579,"lease, space, travel, rent, conf",10,14.00 K,14.00 K,0.0,"HSCEMS17P00046, HSCEMS16P00018, HSCENV08P00188, HSCEMD08P00108, HSCEMR11P00027, HSCEMS11P00027, HSCEMD09P00228, HSCENV09P00077, HSCEMD08P00119, HSCENV08P00185",2012-01-23,2017-08-31,2424 KALAKAUA AVE,,HONOLULU,HI,HAWAII,968153233,01,8082376255,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FEDEX CORPORATION,3141970.0,"support, administrative:, courier, messenger, transportation",6,13.97 K,34.97 K,21000.0,"HSCEMR17F00057, 70CMSW18FR0000003, HSCEMR14F00031, HSCECR12F00024, HSCEMS10F00006, HSCEDM09F00066",2011-11-04,2022-08-31,2003 CORPORATE PLZ,,MEMPHIS,TN,TENNESSEE,381321702.0,09,2022922228.0,8663702491.0,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
EZ PRINT SUPPLIES  INC.,141254842.0,"office, supplies",1,13.89 K,13.89 K,0.0,HSCEMD17F00234,2017-09-15,2017-11-12,6800 DISTRIBUTION DR,,BELTSVILLE,MD,MARYLAND,207051400,05,2405536505,8885538860,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SEVA TECHNICAL SERVICES  INC.,807941625.0,"equipment, bags, sacks, athletic, sporting",5,13.83 K,13.83 K,0.0,"70CDCR18FR0000130, HSCEDM16F00062, HSCEMD16F00083, HSCECR12P00058, HSCEMD10F00179",2016-03-17,2018-09-30,704 THIMBLE SHOALS BLVD STE 300A,,NEWPORT NEWS,VA,VIRGINIA,236064554,03,7579300065,7579301120,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COOLGRAPHICSTUFF.COM,31988350.0,"information, technology, central, processing, unit",1,13.80 K,13.80 K,0.0,70CMSD18FR0000182,2018-08-28,2018-09-30,481 8TH AVE STE 1738,,NEW YORK,NY,NEW YORK,100011820,10,2125944373,2125941550,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RANGE 54  LLC,79518541.0,"lease, rental, schools",1,13.75 K,20.63 K,6877.0,70CDCR18C00000001,2018-11-28,2020-12-31,5725 E KELLOGG DR,,WICHITA,KS,KANSAS,672181701.0,04,3164402854.0,3164402532.0,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEWEY PUBLICATIONS INC,175352004.0,"books, pamphlets, technical, representative, books,",3,13.65 K,13.65 K,0.0,"70CMSD18P00000165, HSCEMR16P00015, HSCEMR10P00011",2012-01-13,2018-09-14,1840 WILSON BLVD STE 203,,ARLINGTON,VA,VIRGINIA,222012514,08,7035241355,7035241463,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FLAGLER CENTER PROPERTIES,118602960.0,"transportation, travel, relocation, transportation:, motor",1,13.46 K,13.46 K,0.0,70CMSD18P00000132,2018-09-05,2018-11-04,505 S FLAGLER DR STE 1010,,WEST PALM BEACH,FL,FLORIDA,334015949,21,5616557200,5616550659,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BOVARD INC,38973392.0,"equipment, maint, repair, rebuild, plumbing,",6,13.26 K,13.26 K,0.0,"HSCEMS17P00089, HSCEMS17P00051, HSCEMS16P00011, HSCEMD10C00004, HSCEMS13P00070, HSCEMS13P00039",2013-12-12,2017-09-28,1307 16TH AVE STE 1,,ALTOONA,PA,PENNSYLVANIA,166013263,09,8149460040,8149460311,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KEYSIGHT TECHNOLOGIES  INC.,79297662.0,"antennas,, waveguides,, related, equipment",1,13.26 K,13.26 K,0.0,HSCEMD17F00120,2017-11-03,2017-10-10,9780 S MERIDIAN BLVD,,ENGLEWOOD,CO,COLORADO,801125910,04,8008294444,8008294433,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INTEGRATED SECURITY TECHNOLOGIES  INC.,809521102.0,"communications, security, equipment, components",2,13.20 K,13.20 K,0.0,"70CMSD18P00000204, HSCEMS12P00107",2014-02-20,2018-10-12,520 HERNDON PKWY STE C,,HERNDON,VA,VIRGINIA,201706218,11,7034644766,7034645825,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
J S J RODRIGUEZ  INC.,39494143.0,"wire, cable,, electrical",1,12.93 K,12.93 K,0.0,HSCETE17P00077,2017-09-22,2017-10-21,12005 N BRYAN RD,,MISSION,TX,TEXAS,785737431,15,9566182360,9566860422,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALERT HOLDINGS GROUP  INC.,33174293.0,"alarm,, signal,, security, detection, systems",6,12.83 K,25.67 K,12834.24,"HSCEMD17P00011, 70CMSD18P00000089, HSCEMD14P00013, HSCEMD11P00020, HSCEMD11P00297, HSCEMD10P00052",2014-01-13,2020-02-29,2668 WAIWAI LOOP,,HONOLULU,HI,HAWAII,968191938,01,8085215000,8085286444,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RMA ARMAMENT  INC,78720225.0,"armor,, personal",1,12.82 K,12.82 K,0.0,HSCEMD17P00125,2017-09-20,2017-10-19,22800 DEWEY RD,,CENTERVILLE,IA,IOWA,525448580,02,8669787103,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ENGEL BALLISTIC RESEARCH INC,58308508.0,"ammunition,, 30mm",1,12.82 K,12.82 K,0.0,HSCEMS16P00063,2018-06-29,2017-01-02,5526 E FRENCH DR,,PIMENTO,IN,INDIANA,478669543,08,5125174099,5123602652,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GLOBAL DATA CENTER INC,926705633.0,"information, technology, software, video, recording",2,12.61 K,12.61 K,0.0,"70CTD018FR0000259, HSCEMD17F00175",2017-10-23,2019-08-30,"5000 BIRCH ST WEST TOWER, STE 3000",,NEWPORT BEACH,CA,CALIFORNIA,926602140,48,8002001718,9495097755,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TELEPHONE SYSTEMS INC,13945530.0,"equipment, utilities, maint, repair, rebuild",3,12.58 K,15.94 K,3360.0,"HSCEMS15P00021, HSCEMD09P00011, HSCEMD09P00231",2011-10-25,2020-07-31,1013 S MARTIN LUTHER KING JR BLVD,,TALLAHASSEE,FL,FLORIDA,323012238,02,8503648377,8502547078,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ENFORCEMENT TECHNOLOGY GROUP INC,181272209.0,"equipment, communications, security, components, safety",2,12.50 K,12.50 K,0.0,"HSCETE16F00001, HSCECR11P00055",2011-07-13,2016-01-01,400 N BROADWAY STE 400,,MILWAUKEE,WI,WISCONSIN,532025510,04,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
HUMAN RESOURCES INSTITUTE INC,804703973.0,"education, training, general",2,12.44 K,12.44 K,0.0,"70CMSD18FR0000048, HSCEMR15F00033",2018-04-30,2018-05-01,6172 OXON HILL RD,,OXON HILL,MD,MARYLAND,207453123,04,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
VICON INDUSTRIES  INC.,043837947,"miscellaneous, alarm,, signal,, security, detection",2,12.40 K,12.40 K,0.0,"70CDCR18FR0000082, HSCEMR17F00023",2018-05-08,2018-09-30,135 FELL CT,,HAUPPAUGE,NY,NEW YORK,117884351,01,6319522288,6319512288,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
HAWAIIAN TELCOM HOLDCO  INC.,784964426.0,"telecom, internet",1,12.37 K,12.37 K,0.0,70CTD018P00000006,2018-03-12,2019-02-22,1177 BISHOP ST,,HONOLULU,HI,HAWAII,968132808,01,8085464808,8085468288,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TRUCKVAULT  INC.,962916144.0,"miscellaneous, vehicular, components, specialized, shipping",4,12.37 K,12.37 K,0.0,"HSCEMD17P00129, HSCEMD14P00136, HSCEMD10F00280, HSCEMD10F00273",2011-12-20,2017-11-21,315 TOWNSHIP ST SEDRO WOOLLEY,,SEDRO WOOLLEY,WA,WASHINGTON,982841241,02,3608550464,3608552239,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
NOSLER  INC.,9028176.0,"ammunition,, 30mm",1,12.35 K,12.35 K,0.0,HSCEMS17P00066,2018-01-08,2017-08-20,107 SW COLUMBIA ST,,BEND,OR,OREGON,977021014,02,5413823921,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PRUDENTIAL OVERALL SUPPLY,28579803.0,"lease, rental, equipment, clothing,, individual",3,12.35 K,20.84 K,8488.480000000001,"HSCEDM16P00126, HSCEDM11P00125, HSCEOP06P01814",2011-10-03,2021-08-31,4240 S FREMONT AVE,,TUCSON,AZ,ARIZONA,857141627,03,9492504855,9492611947,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DARLENE CASIAS INTERIORS  L.P.,142180574.0,"office, furniture",1,12.31 K,12.31 K,0.0,70CMSW18FR0000108,2018-09-20,2018-11-09,6896 A ALAMO DOWNS PKWY STE 100,,SAN ANTONIO,TX,TEXAS,782384535,20,2105219900,2105219910,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TIDEWATER DISTRIBUTORS  LLC,802275391.0,"guns,, 30mm",1,12.23 K,12.23 K,0.0,HSCEMS16P00031,2018-05-16,2016-12-21,4940 RUTHERFORD RD STE 300,,VIRGINIA BEACH,VA,VIRGINIA,234554617,02,7573186652,8663817782,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
VOHNE LICHE KENNELS INC,957578685.0,"support, professional:, veterinary, animal, care",1,12.15 K,12.15 K,0.0,HSCEMD16P00094,2017-11-07,2017-08-21,7953 N OLD RTE 31,,DENVER,IN,INDIANA,469269090,02,7659852274,7659852595,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SECURITY INSTALL SOLUTIONS,827566170.0,"information, technology, components, support, equipment",2,12.13 K,12.13 K,0.0,"70CTD018P00000043, HSCETE17P00003",2016-11-23,2018-10-23,3091 S JAMAICA CT STE 150,,AURORA,CO,COLORADO,800142698,06,3033255987,8773255187,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GIFCO DEFENSE SOLUTIONS  INC.,829822779.0,"ammunition,, 30mm",1,12.05 K,12.05 K,0.0,HSCEMS12P00026,2018-08-30,2012-08-30,3013 FOUNTAIN VIEW DR STE 100,,HOUSTON,TX,TEXAS,770576100,07,7137819334,7139775529,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COUNTY OF HILLSBOROUGH,69672137.0,"lease, rental, recreation, facilities, (non",3,12.05 K,22.42 K,10368.0,"HSCEMD16P00038, HSCEMD12P00010, HSCEOP07P00454",2012-07-23,2021-06-30,2008 E 8TH AVE,,TAMPA,FL,FLORIDA,336053906,14,8132478235,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PROMAXIMA MANUFACTURING  LTD,606673937,"equipment, athletic, sporting, recreational, gymnastic",7,12.04 K,12.04 K,0.0,"70CDCR18FR0000104, HSCEDM17F00093, HSCEMD17F00176, HSCEDM16F00023, HSCENV08F00184, HSCEMD09F00209, HSCEMD08F00105",2011-07-08,2018-09-30,5310 ASHBROOK DR,,HOUSTON,TX,TEXAS,770814102,07,7136679606,7136679941,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MILLER-HEIMAN  INC.,88765177.0,"education, training",1,12.00 K,12.00 K,0.0,HSCETE16F00067,2016-09-13,2016-11-03,4301 N FAIRFAX DR STE 700,,ARLINGTON,VA,VIRGINIA,222031655,08,7035583025,7035583001,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GRACELAND COLLEGE CENTER FOR PROFESSIONAL DEVELOPMENT AND LI,878206937,"education, training, lectures",2,12.00 K,12.00 K,0.0,"70CMSW18P00000068, HSCEMS17P00096",2018-08-31,2019-06-01,6900 SQUIBB RD,,SHAWNEE MISSION,KS,KANSAS,662023247,03,9133623900,9136775224,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AMAZON.COM  INC.,884745530.0,"safety, rescue, equipment",1,11.90 K,11.90 K,0.0,70CMSD18P00000067,2018-05-24,2018-07-15,410 TERRY AVE N,,SEATTLE,WA,WASHINGTON,981095210,07,3136281663,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PORTALS HOTEL SITE LLC,875632531.0,"lease, rental, equipment, training, aids",1,11.89 K,11.89 K,0.0,HSCEMS16P00033,2018-05-07,2016-06-30,1330 MARYLAND AVE SW,,WASHINGTON,DC,DISTRICT OF COLUMBIA,20024,00,2024158010,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COMMERCIAL CENTERS MANAGEMENT INC,90588914.0,"storage, housekeeping, warehousing, lease, rental",3,11.82 K,49.50 K,37680.0,"70CMSD18P00000036, HSCEMD14P00001, HSCENV09P00006",2014-07-07,2022-03-31,CAMPO RICO AVE CRN RD 190,,CAROLINA,PR,PUERTO RICO,00983,00,7877986818,7877989039,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MAXSUR INC,78450168.0,"communications, security, equipment, components, cameras,",3,11.75 K,11.75 K,0.0,"HSCEMD17F00070, HSCEMD17P00031, HSCEMD17F00041",2017-03-31,2017-06-24,14365 W HWY 29,,LIBERTY HILL,TX,TEXAS,786424309,31,5127786363,2107454647,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RED HAWK FIRE & SECURITY  LLC,17305520.0,"information, technology, components",1,11.73 K,11.73 K,0.0,70CTD018P00000035,2018-11-13,2019-03-04,1270 NW 165TH ST,,MIAMI,FL,FLORIDA,331695810,24,3056200062,3056200099,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DIAMOND SERVICES  INC.,869004143.0,"housekeeping, landscaping, groundskeeping",1,11.68 K,58.38 K,46700.0,70CMSW18C00000005,2018-09-07,2023-09-27,1100 S CLINTON AVE STE G,,DUNN,NC,NORTH CAROLINA,283346883,07,9108923078,9108922936,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SPS INDUSTRIAL INC.,167960462.0,"hardware,, weapon, system",1,11.65 K,11.65 K,0.0,HSCECR15F00019,2015-08-20,2015-09-19,3324 SE GRAN PARK WAY,,STUART,FL,FLORIDA,349978859,18,3212518156,4079563820,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TEXTRON INC.,1338979.0,"ground, effect, vehicles",1,11.56 K,11.56 K,0.0,HSCEDM16P00127,2016-09-26,2016-10-26,1451 MARVIN GRIFFIN RD,,AUGUSTA,GA,GEORGIA,309063852,12,8004487476,7067922001,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALDEVRA LLC,830063496.0,"equipment, refrigeration, kitchen, appliances",3,11.44 K,11.44 K,0.0,"70CDCR18FR0000068, HSCEDM17F00047, HSCEDM15F00101",2015-09-29,2018-07-31,3707 S. WESTNEDGE AVE.,,KALAMAZOO,MI,MICHIGAN,490082979,06,2693501337,2693277392,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
NATIONAL CAPITAL FLAG COMPANY  INCORPORATED,046047874,"flags, pennants, athletic, sporting, equipment",5,11.40 K,11.40 K,0.0,"HSCECR09P00096, HSCEDM08J00075, HSCEMS08P00059, HSCEMS08J00053, HSCEMD08A00007",2010-09-09,2009-08-22,100 S QUAKER LN,,ALEXANDRIA,VA,,223144526,VA08,7037512411,7037514874,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
WRIGGLESWORTH ENTERPRISES  INC.,612878772.0,"hardware,, commercial, space, water, heating",2,11.34 K,11.34 K,0.0,"70CDCR18FR0000086, HSCEDM16P00031",2016-02-22,2018-09-15,3516 S COLLEGE RD,,WILMINGTON,NC,NORTH CAROLINA,284120912,07,9103951904,9103950026,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INSYTE LLC,167095418.0,"training, education, information, technology, telecommunications",1,11.31 K,11.31 K,0.0,HSCEMS16P00014,2016-04-06,2016-04-15,901 N PITT ST STE 105,,ALEXANDRIA,VA,VIRGINIA,223141549,08,7035358600,7035358656,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CEIA USA  LTD,176329795.0,"x, ray, eq, supplies, med,",1,11.26 K,11.26 K,0.0,HSCEDM11F00067,2011-09-29,2011-09-29,9177 DUTTON DR,,TWINSBURG,OH,OHIO,440871981,14,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
POWERSPORTS PLUS  LLC,68454550.0,"ground, effect, vehicles",1,11.07 K,11.07 K,0.0,70CDCR18P00000160,2018-08-27,2018-12-06,3006 KENSINGTON CT,,ALBANY,GA,GEORGIA,317211579,02,2292999562,8634657233,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TERTELING HOLDING COMPANY  INC.,7978117.0,"education, training",1,11.00 K,11.00 K,0.0,70CMSD18P00000029,2018-02-22,2018-03-12,1321 TECHNOLOGY DRIVE SUITE 101,,BARNWELL,SC,SOUTH CAROLINA,298128626,02,8032591935,8032591906,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
NEW DIMENSION AWARDS INC,21522834.0,"signs,, advertising, displays,, identification, plates",1,10.98 K,10.98 K,0.0,70CDCR18P00000114,2018-06-25,2018-09-24,6505 11TH AVE,,BROOKLYN,NY,NEW YORK,112195602,10,7182368200,7182366979,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CASCADE NETWORKS  INC.,37153124.0,"communications, security, equipment, components",1,10.96 K,10.96 K,0.0,HSCEMD16P00004,2017-10-19,2015-11-30,1111 11TH AVE,,LONGVIEW,WA,WASHINGTON,986323109,03,3604424440,3604145991,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TRANSCEND ROBOTICS  INC.,79986561.0,"miscellaneous, machine, tools",1,10.94 K,10.94 K,0.0,70CMSD18P00000108,2018-07-05,2018-09-05,2060 4TH ST STE 124,,BERKELEY,CA,CALIFORNIA,947101956,13,4157102585,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TREASURE ELECTRONICS INC,78665809.0,"inspection, alarm,, signal,, security, detection",1,10.80 K,10.80 K,0.0,HSCEDM16P00044,2016-04-01,2016-10-31,2517 S MEMORIAL DR,,TULSA,OK,OKLAHOMA,741292619,01,8002618211,9186633015,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ADVANCED TECHNOLOGY GROUP  INC.,848452090.0,"information, technology, software",1,10.68 K,10.68 K,0.0,HSCEMD17F00015,2017-10-20,2017-02-13,5600 ROSWELL RD NE STE 120 N,,ATLANTA,GA,GEORGIA,303421154,06,4042529611,4042528118,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
YOUNG SCALE CO.  LLC,60643533.0,"mini, micro, computer, control, devices",2,10.66 K,10.66 K,0.0,"70CMSD18P00000097, HSCETE15P00029",2017-08-22,2019-09-17,1733 HAU ST,,HONOLULU,HI,HAWAII,968193252,01,8087330788,8087330788,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CENTRAL TRANSPORTATION SYSTEMS INC,7369119.0,"relocation, transportation, travel, relocation:",1,10.65 K,10.65 K,0.0,HSCEMS17F00026,2018-04-11,2017-06-26,4105 RIO BRAVO ST STE 100,,EL PASO,TX,TEXAS,799021090,16,9156150837,9157817703,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
EATON CORPORATION,985419987.0,"equipment, telecom, annual, hardware, maintenance",2,10.52 K,10.52 K,0.0,"HSCECR17P00004, HSCECR16P00004",2016-03-16,2018-03-16,8609 SIX FORKS RD,,RALEIGH,NC,NORTH CAROLINA,276152966,04,9198703385,9198703118,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"CANNON IV, INC.",75961300.0,"information, technology, components, adp, input",2,10.49 K,10.49 K,0.0,"HSCETE16F00075, HSCETE15J00581",2015-09-16,2016-10-25,6814 HILLSDALE CT,,INDIANAPOLIS,IN,INDIANA,462022001,07,3179510500,3179510600,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
VETERANS TECH  LLC,808862598.0,luggage,1,10.46 K,10.46 K,0.0,HSCEMD17P00108,2018-01-29,2017-10-13,6060 HOLLOW TREE CT,,COLORADO SPRINGS,CO,COLORADO,809181436,05,7193686185,7195990270,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SMITHMYER ELECTRONICS INC,184227973.0,"fire, fighting, rescue, safety, equipment;",2,10.35 K,27.04 K,16695.0,"HSCEMS17P00060, HSCEMS12P00081",2016-09-30,2022-09-29,211 E BELL AVE,,ALTOONA,PA,PENNSYLVANIA,166025201,09,8149469380,8149461589,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FOX RIVER GRAPHICS LLC,155143050.0,"television, radio, except, airborne, video",6,10.14 K,10.14 K,0.0,"HSCEMD17F00081, HSCEMD12F00088, HSCEMD10F00219, HSCEMD10F00206, HSCEMD11F00150, HSCEMD11F00093",2011-08-08,2017-07-17,218 MAIN ST S STE 100,,HUTCHINSON,MN,MINNESOTA,553502603,07,8474285068,8474284644,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INTERNATIONAL TELEVISION CORP,028525582,"headsets,, handsets,, microphones, speakers",2,10.08 K,10.08 K,0.0,"70CMSD18FR0000097, 70CMSD18FR0000129",2018-07-02,2018-08-07,21000 S WILMINGTON AVE,,LONG BEACH,CA,CALIFORNIA,908101232,44,2133885416,2133841137,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
